	RevName	cal_spm_max	cal_spm_min	dlp_rho_max	dlp_rho_min	dlp_spm_max	dlp_spm_min	dlp_timing_offset	geo_spm_max	geo_spm_min	kernels	rsr_16khz_list	tau_resolution	tau_rho_max	tau_rho_min	tau_spm_max	tau_spm_min
47	Rev010E_RSS_2005_177_X25_E	92200	83600	145019	71979.25	89250.8239	83629.5726	-0.0076	92998	80772	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0115/sroc1_177/rsr/s12sroe2005177_2226nnnx25rd.1a2']	10KM	144987.5	72012.5	89248.3521	83632.0913
48	Rev010I_RSS_2005_177_K25_I	73050	64500	144999.25	72000	72926.9898	67002.5112	0.0136	75899	63600	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0115/sroc1_177/rsr/s12sroi2005177_1741nnnk25rd.1b2']	01KM	144998.75	72001.25	72926.8939	67002.5555
49	Rev010I_RSS_2005_177_K25_I	73050	64500	144999.25	72000	72926.9898	67002.5112	0.0136	75899	63600	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0115/sroc1_177/rsr/s12sroi2005177_1741nnnk25rd.1b2']	10KM	144987.5	72012.5	72926.0314	67003.5531
50	Rev010I_RSS_2005_177_S14_I	73050	64500	145039.75	71951.5	72930.7081	66998.9196	0.0136	75900	63900	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnns14rd.2b2']	01KM	144998.75	72001.25	72926.8939	67002.5556
51	Rev010I_RSS_2005_177_S14_I	73050	64500	145039.75	71951.5	72930.7081	66998.9196	0.0136	75900	63900	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnns14rd.2b2']	10KM	144987.5	72012.5	72926.0314	67003.5531
52	Rev010I_RSS_2005_177_X14_I	73050	64500	145008	71989.5	72927.7948	67001.7353	0.0136	75900	63900	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx14rd.2a2']	01KM	144998.75	72001.25	72926.8939	67002.5556
53	Rev010I_RSS_2005_177_X14_I	73050	64500	145008	71989.5	72927.7948	67001.7353	0.0136	75900	63900	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx14rd.2a2']	10KM	144987.5	72012.5	72926.0314	67003.5531
54	Rev010I_RSS_2005_177_X25_I	73050	64500	145008	71989.5	72927.7948	67001.7353	0.0136	75899	63600	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx25rd.1a2']	01KM	144998.75	72001.25	72926.8939	67002.5555
55	Rev010I_RSS_2005_177_X25_I	73050	64500	145008	71989.5	72927.7948	67001.7353	0.0136	75899	63600	"['050802R_SCPSE_05169_05186.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx25rd.1a2']	10KM	144987.5	72012.5	72926.0314	67003.5531
56	Rev011E_RSS_2005_196_K34_E	25480	21600	118300	71997.75	25181.2771	21604.138	-0.0062	25602	18300	"['050825R_SCPSE_05186_05205.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0118/sroc2_196/rsr/s12sroe2005196_0505nnnk34rd.1b2']	01KM	118300	72025	25181.2771	21606.2213
