rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROI2009359_1845NNNK34RD.1B1, 46.2721
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROI2009359_1845NNNS43RD.2B1, 42.9859
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROI2009359_1845NNNX34RD.1A1, 48.1312
co-s-rss-1-sroc10-v10/cors_0751/SROC10_359/RSR/S56SROI2009359_1845NNNX43RD.2A1, 47.6932
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROE2010027_0005NNNK55RD.1B1, 49.4570
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROE2010027_0005NNNS63RD.2B1, 44.3347
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROE2010027_0005NNNX55RD.1A1, 49.7708
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROE2010027_0005NNNX63RD.2A1, 55.7578
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROI2010026_1800NNNK34RD.1B1, 49.7201
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROI2010026_1800NNNS43RD.2B1, 43.9773
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROI2010026_1800NNNX34RD.1A1, 49.6137
co-s-rss-1-sroc11-v10/cors_0753/SROC11_026/RSR/S57SROI2010026_1800NNNX43RD.2A1, 55.7257
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROE2010170_0330NNNK34RV.1N1, 49.8442
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROE2010170_0330NNNS43RD.2B1, 43.9306
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROE2010170_0330NNNX34RV.1N1, 49.3815
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROE2010170_0330NNNX43RD.2A1, 55.4021
